Date,% Change NSW,% Change VIC,% Change QLD,% Change SA,% Change WA,% Change TAS,% Change NT,% Change ACT,% Change Total,% Change NSW Seasonal,% Change VIC Seasonal,% Change QLD Seasonal,% Change SA Seasonal,% Change WA Seasonal,% Change TAS Seasonal,% Change NT Seasonal,% Change ACT Seasonal,% Change Total Seasonal
2019-11-01 00:00:00,5.5,5.6,4,4.4,3.8,4.6,-2,6,4.9,1.1,1,1.1,1.3,0.3,0.2,-0.3,0,0.9
2019-12-01 00:00:00,18.4,21.5,18.6,17.1,19.1,23.1,7.4,17.1,19.2,-1,0,-0.6,-1.5,-0.1,1.4,-0.9,-0.2,-0.5
2020-01-01 00:00:00,-22.6,-24,-20,-21.2,-22.4,-20.9,-18.9,-25.2,-22.4,-0.4,-0.5,-0.1,0,-1.5,-0.9,-0.6,-2.6,-0.5
2020-02-01 00:00:00,-7.9,-6,-8.1,-6.9,-5.4,-6.9,-1.8,-1.3,-6.9,-0.1,0.8,1.1,0.5,1.4,-0.1,-0.4,1.5,0.6
2020-03-01 00:00:00,14,14.3,14.9,17,15.6,13.8,18.8,15,14.7,7.7,7.1,8.6,9.1,9.8,8.8,11.2,9,8.1
2020-04-01 00:00:00,-18.9,-22.3,-16.9,-16.5,-17.9,-20.2,-6.8,-17.3,-19,-17.4,-20.7,-15.4,-14.4,-16.4,-17.3,-7.3,-14.7,-17.4
2020-05-01 00:00:00,19.6,18.6,19.1,19.1,21.9,18.5,14.7,16.1,19.3,16.4,16.8,16.4,16.1,19.2,17.3,7.6,12.3,16.6
2020-06-01 00:00:00,2.1,2.6,0.5,-1.4,0.4,1.4,-1.3,1,1.4,3.4,4.2,0.7,1,2.7,3.5,-4.2,3.7,2.7
2020-07-01 00:00:00,6.3,-1.5,9.5,5.2,7,7.4,9.5,5.2,5,6,-1.9,5.2,3.2,3.9,4.5,2.8,6,3.4
2020-08-01 00:00:00,-2.7,-12.5,-2.7,-2.6,-1.5,-3.1,-0.8,0.5,-4.8,-2.2,-12.5,-1.3,-1.2,-0.2,-0.7,2.3,0.2,-4.1
2020-09-01 00:00:00,0.6,-0.4,-2,-2.2,-2,-1.7,-2.1,-2.1,-0.8,-1,-0.5,-1.3,-2.4,-1.4,-1.6,2.9,-1.6,-1.1
2020-10-01 00:00:00,6.2,11.5,4.2,6.8,7.2,5.1,1.7,6.8,7,0.8,5.5,-0.2,0.3,0.6,-1.5,0.2,-0.2,1.5
2020-11-01 00:00:00,5.4,26,4.7,0.7,2,5.5,-1.4,4.6,9.2,2.2,22,3.6,-0.6,0.6,2.5,2.2,1.3,6.7
2020-12-01 00:00:00,16.4,14.8,19.5,21.4,19.9,18.6,11.5,18.2,17.3,-4,-6.9,-1.3,0,-1.4,-3.4,0.8,-0.4,-3.5
2021-01-01 00:00:00,-22.7,-23.7,-21.7,-22,-20.9,-20.1,-18.7,-21.9,-22.4,0.5,0.9,-1.6,0.1,1.8,0.7,0.8,0.4,0.3
2021-02-01 00:00:00,-9.8,-12.2,-11.2,-10.2,-14.5,-9.1,-7.5,-7.7,-11.2,1.2,-3,1.1,0.2,-5.4,0.6,-2.8,0.3,-0.8
2021-03-01 00:00:00,11.7,16.4,10.9,12.3,17.3,11.7,12.5,8,13.3,0.2,3.5,-0.5,-1.1,5.5,1.3,0.5,-2.9,1.3
2021-04-01 00:00:00,-2.3,-3.3,-3.9,-4.7,-6,-5.8,-0.3,-2.3,-3.5,2.1,1.6,0.3,0.9,-1.5,0.4,0.1,1.9,1.1
2021-05-01 00:00:00,3.8,1.3,4.1,3.1,4.3,2.6,4.1,4.2,3.2,0.5,-0.9,1.6,-0.1,1.3,1.5,-2.1,0.9,0.4
2021-06-01 00:00:00,-2.8,-5,-0.7,-1.1,-1.5,-2.7,1.5,-1.3,-2.6,-2,-4,-0.9,0.6,0.1,-1.6,-1.8,1.3,-1.8
2021-07-01 00:00:00,-8.4,1.7,3.6,-1.2,4,5.4,9.5,2.7,-0.9,-8.9,1.3,-0.9,-3.3,1.2,2.7,2.2,2.1,-2.7
2021-08-01 00:00:00,-4,-3.5,-2.5,4.8,0.7,-3,-4,-20.7,-2.7,-3.5,-3,-0.9,6.6,2.8,-1.1,-0.5,-19.9,-1.7
2021-09-01 00:00:00,3.9,-1.4,4.4,1.2,1.9,1.3,-4,-12.4,1.9,2.3,-2.1,5.2,0.9,1.4,2.2,0.8,-12,1.3
2021-10-01 00:00:00,18.2,8,4.1,4.5,5.8,4.4,2.4,29.3,9.8,13.3,3,0.4,-1.2,0.2,-2.4,1.6,20.2,4.9
2021-11-01 00:00:00,9.5,24.8,3.2,5.2,4,6.6,-4.9,23.3,10.9,5.1,20,0.9,2.4,1.7,3,-2.7,19.2,7.3
2021-12-01 00:00:00,15.8,13.3,19.6,15.9,18,17.9,14.2,14.1,16.1,-4.2,-8.4,-0.7,-4.1,-3.5,-3.5,3.6,-3.1,-4.4
